[ 2025-02-24 07:45:35,197 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-24 07:45:43,244 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-24 07:45:43,244 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-24 07:45:43,244 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-24 07:45:43,331 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-24 07:45:43,331 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-24 07:45:43,331 ] 27 root - INFO - Initiate the data Validation
[ 2025-02-24 07:45:43,381 ] 32 root - INFO - Required number of columns:2
[ 2025-02-24 07:45:43,381 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-24 07:45:43,381 ] 32 root - INFO - Required number of columns:2
[ 2025-02-24 07:45:43,381 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-24 07:45:43,578 ] 29 root - INFO - data Validation Completed
[ 2025-02-24 07:45:43,578 ] 34 root - INFO - data Transformation started
[ 2025-02-24 07:45:43,578 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-24 07:45:43,578 ] 65 root - INFO - Starting data transformation
[ 2025-02-24 07:45:43,615 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-24 07:45:43,615 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-24 07:45:43,634 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-24 07:45:43,642 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-24 07:45:43,642 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-24 07:45:43,642 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-24 07:45:43,648 ] 38 root - INFO - data Transformation completed
