[ 2025-02-19 22:01:12,166 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-19 22:01:19,274 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-19 22:01:19,274 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-19 22:01:19,275 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-19 22:01:19,352 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-19 22:01:19,353 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-19 22:01:19,365 ] 27 root - INFO - Initiate the data Validation
[ 2025-02-19 22:01:19,397 ] 32 root - INFO - Required number of columns:2
[ 2025-02-19 22:01:19,398 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-19 22:01:19,398 ] 32 root - INFO - Required number of columns:2
[ 2025-02-19 22:01:19,398 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-19 22:01:19,610 ] 29 root - INFO - data Validation Completed
[ 2025-02-19 22:01:19,611 ] 34 root - INFO - data Transformation started
[ 2025-02-19 22:01:19,611 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-19 22:01:19,611 ] 65 root - INFO - Starting data transformation
[ 2025-02-19 22:01:19,642 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-19 22:01:19,642 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-19 22:01:19,657 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-19 22:01:19,660 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-19 22:01:19,660 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-19 22:01:19,664 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-19 22:01:19,667 ] 38 root - INFO - data Transformation completed
